,age,education-num,capital-gain,hours-per-week,marital-status_ Divorced,marital-status_ Married-AF-spouse,marital-status_ Married-civ-spouse,marital-status_ Married-spouse-absent,marital-status_ Never-married,marital-status_ Separated,marital-status_ Widowed,relationship_ Husband,relationship_ Not-in-family,relationship_ Other-relative,relationship_ Own-child,relationship_ Unmarried,relationship_ Wife,income
0,0.301369863,0.8,0.667491852,0.397959184,0,0,0,0,1,0,0,0,1,0,0,0,0,<=50K
1,0.452054795,0.8,0,0.12244898,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
2,0.287671233,0.533333333,0,0.397959184,1,0,0,0,0,0,0,0,1,0,0,0,0,<=50K
3,0.493150685,0.4,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
4,0.150684932,0.8,0,0.397959184,0,0,1,0,0,0,0,0,0,0,0,0,1,<=50K
5,0.273972603,0.866666667,0,0.397959184,0,0,1,0,0,0,0,0,0,0,0,0,1,<=50K
6,0.438356164,0.266666667,0,0.153061224,0,0,0,1,0,0,0,0,1,0,0,0,0,<=50K
7,0.479452055,0.533333333,0,0.448979592,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
8,0.191780822,0.866666667,0.82975137,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,>50K
9,0.342465753,0.8,0.742849182,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
10,0.273972603,0.6,0,0.806122449,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
11,0.178082192,0.8,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
12,0.082191781,0.8,0,0.295918367,0,0,0,0,1,0,0,0,0,0,1,0,0,<=50K
13,0.205479452,0.733333333,0,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,<=50K
14,0.232876712,0.2,0,0.448979592,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
15,0.109589041,0.533333333,0,0.346938776,0,0,0,0,1,0,0,0,0,0,1,0,0,<=50K
16,0.205479452,0.533333333,0,0.397959184,0,0,0,0,1,0,0,0,0,0,0,1,0,<=50K
17,0.287671233,0.4,0,0.5,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
18,0.356164384,0.866666667,0,0.448979592,1,0,0,0,0,0,0,0,0,0,0,1,0,>50K
19,0.315068493,1,0,0.602040816,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
20,0.506849315,0.533333333,0,0.193877551,0,0,0,0,0,1,0,0,0,0,0,1,0,<=50K
21,0.246575342,0.266666667,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
22,0.356164384,0.4,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
23,0.575342466,0.533333333,0,0.397959184,1,0,0,0,0,0,0,0,0,0,0,1,0,<=50K
24,0.534246575,0.8,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
25,0.02739726,0.533333333,0,0.397959184,0,0,0,0,1,0,0,0,0,0,1,0,0,<=50K
26,0.301369863,0.533333333,0,0.806122449,1,0,0,0,0,0,0,0,1,0,0,0,0,<=50K
27,0.438356164,0.533333333,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
28,0.082191781,0.733333333,0,0.520408163,0,0,0,0,1,0,0,0,1,0,0,0,0,<=50K
29,0.04109589,0.6,0,0.43877551,0,0,0,0,1,0,0,0,0,0,1,0,0,<=50K
30,0.383561644,0.8,0,0.397959184,1,0,0,0,0,0,0,0,0,0,1,0,0,<=50K
31,0.178082192,0.6,0,0.397959184,0,0,1,0,0,0,0,0,0,0,1,0,0,<=50K
32,0.068493151,0.6,0,0.142857143,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
33,0.424657534,0.4,0,0.397959184,0,0,0,0,1,0,0,0,0,0,0,1,0,<=50K
34,0.054794521,0.6,0,0.397959184,0,0,0,0,1,0,0,0,0,0,1,0,0,<=50K
35,0.02739726,0.533333333,0,0.244897959,0,1,0,0,0,0,0,0,0,0,0,0,1,<=50K
36,0.424657534,0.733333333,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
37,0.191780822,0.266666667,0,0.428571429,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
38,0.493150685,0.8,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
39,0.095890411,0.8,0,0.5,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
40,0.438356164,0.533333333,0,0.397959184,0,0,0,0,0,1,0,0,0,0,0,1,0,<=50K
41,0.109589041,0.533333333,0,0.346938776,0,0,0,0,1,0,0,0,1,0,0,0,0,<=50K
42,0.547945205,0.8,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
43,0.493150685,0.533333333,0,0.37755102,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
44,0.369863014,0.866666667,0,0.397959184,1,0,0,0,0,0,0,0,0,0,0,1,0,<=50K
45,0.328767123,0.666666667,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
46,0.164383562,0.666666667,0,0.428571429,0,0,0,0,1,0,0,0,1,0,0,0,0,<=50K
47,0.109589041,0.6,0,0.397959184,0,0,1,0,0,0,0,0,0,0,0,0,1,<=50K
48,0.410958904,0.933333333,0,0.602040816,0,0,1,0,0,0,0,0,0,0,0,0,1,>50K
49,0.452054795,0.8,0,0.551020408,1,0,0,0,0,0,0,0,1,0,0,0,0,>50K
50,0.410958904,0.533333333,0,0.602040816,1,0,0,0,0,0,0,0,1,0,0,0,0,<=50K
51,0.356164384,0.6,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
52,0.397260274,0.133333333,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
53,0.246575342,0.666666667,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
54,0.328767123,0.533333333,0,0.479591837,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
55,0.178082192,0.533333333,0.740036866,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
56,0.178082192,0.8,0.676331297,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
57,0.424657534,0.533333333,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
58,0.342465753,1,0,0.448979592,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
59,0.164383562,0.6,0,0.581632653,1,0,0,0,0,0,0,0,1,0,0,0,0,<=50K
60,0.260273973,0.533333333,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
61,0.150684932,0.6,0,0.397959184,1,0,0,0,0,0,0,0,1,0,0,0,0,<=50K
62,0.493150685,0.533333333,0,0.397959184,0,0,1,0,0,0,0,0,0,0,0,0,1,>50K
63,0.438356164,0.6,0,0.5,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
64,0.02739726,0.6,0,0.316326531,0,0,0,0,1,0,0,0,0,0,1,0,0,<=50K
65,0.191780822,0.8,0,0.397959184,0,0,0,0,0,1,0,0,0,0,1,0,0,<=50K
66,0.164383562,0.8,0,0.704081633,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
67,0.082191781,0.6,0,0.397959184,0,0,0,0,1,0,0,0,1,0,0,0,0,<=50K
68,0.849315068,0.6,0,0.193877551,0,0,1,0,0,0,0,0,0,1,0,0,0,<=50K
69,0.136986301,0.533333333,0,0.397959184,0,0,0,0,1,0,0,0,0,0,1,0,0,<=50K
70,0.315068493,0.733333333,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
71,0.01369863,0.4,0,0.214285714,0,0,0,0,1,0,0,0,0,0,1,0,0,<=50K
72,0.191780822,0.2,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
73,0.01369863,0.533333333,0,0.295918367,0,0,0,0,1,0,0,0,1,0,0,0,0,<=50K
74,0.479452055,0.8,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
75,0.397260274,0.533333333,0,0.397959184,0,0,1,0,0,0,0,0,0,0,0,0,1,<=50K
76,0.575342466,0.533333333,0,0.479591837,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
77,0.369863014,0.533333333,0.831340111,0.397959184,1,0,0,0,0,0,0,0,1,0,0,0,0,>50K
78,0.493150685,0.533333333,0,0.346938776,1,0,0,0,0,0,0,0,0,0,1,0,0,<=50K
79,0.438356164,0.533333333,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
80,0.219178082,0.866666667,0,0.5,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
81,0.178082192,0.266666667,0,0.397959184,0,0,0,0,1,0,0,0,1,0,0,0,0,<=50K
82,0.356164384,1,0,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,>50K
83,0.547945205,0.666666667,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
84,0.273972603,0.6,0,0.397959184,1,0,0,0,0,0,0,0,0,0,0,1,0,<=50K
85,0.150684932,0.6,0,0.244897959,1,0,0,0,0,0,0,0,0,0,0,1,0,<=50K
86,0.232876712,0.8,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
87,0.164383562,0.6,0,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,<=50K
88,0.424657534,1,0,0.602040816,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
89,0.273972603,0.6,0,0.479591837,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
90,0.424657534,0.733333333,0,0.397959184,1,0,0,0,0,0,0,0,0,0,0,1,0,<=50K
91,0.205479452,0.533333333,0,0.397959184,0,0,0,0,1,0,0,0,0,0,1,0,0,<=50K
92,0.808219178,0.866666667,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
93,0.369863014,0.8,0.835362896,0.602040816,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
94,0.410958904,0.866666667,0,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,<=50K
95,0.04109589,0.6,0,0.397959184,0,0,0,0,1,0,0,0,0,0,1,0,0,<=50K
96,0.164383562,0.533333333,0,0.397959184,0,0,0,0,1,0,0,0,1,0,0,0,0,<=50K
97,0.205479452,0.533333333,0.777173972,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
98,0.178082192,0.4,0,0.397959184,0,0,0,0,1,0,0,0,0,0,1,0,0,<=50K
99,0.191780822,0.533333333,0,0.397959184,0,0,0,0,1,0,0,0,1,0,0,0,0,<=50K
100,0.342465753,0.533333333,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,<=50K
101,0.095890411,0.8,0,0.397959184,0,0,0,0,1,0,0,0,0,1,0,0,0,<=50K
102,0.287671233,0.933333333,0,0.397959184,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
103,0.534246575,0.533333333,0,0.5,0,0,1,0,0,0,0,1,0,0,0,0,0,>50K
